DATE,City,Temperature_C,Humidity_pct,Wind_Speed_ms,Rainfall_3day,Rainfall_7day,Rainfall_14day,Rainfall_cumsum7,Month,Is_Monsoon,Flood,Flash_Flood
2023-10-13,Kuching,27.66,88.54,0.91,11.276666666666678,11.17571428571428,8.475,78.22999999999996,10,0,0,0
2023-10-14,Kuching,28.27,84.61,0.78,9.706666666666678,11.541428571428568,7.992857142857143,80.78999999999998,10,0,0,0
2023-10-15,Kuching,28.49,83.43,0.59,6.1700000000000115,11.057142857142853,7.865714285714286,77.39999999999998,10,0,0,0
2023-10-16,Kuching,28.03,84.39,0.63,5.860000000000011,9.129999999999997,8.129285714285714,63.909999999999975,10,0,0,0
2023-10-17,Kuching,28.08,84.93,0.82,5.180000000000011,8.208571428571425,8.139999999999999,57.45999999999997,10,0,0,0
2023-10-18,Kuching,27.25,89.7,1.03,9.670000000000012,9.047142857142854,9.190714285714288,63.32999999999997,10,0,0,0
2023-10-19,Kuching,27.12,85.58,0.77,11.706666666666678,8.27428571428571,9.581428571428571,57.91999999999997,10,0,0,0
2023-10-20,Kuching,27.7,81.27,0.89,10.093333333333346,7.7014285714285675,9.43857142857143,53.909999999999975,10,0,0,0
2023-10-21,Kuching,28.14,80.88,0.92,4.473333333333345,6.804285714285711,9.172857142857143,47.629999999999974,10,0,0,0
2023-10-22,Kuching,27.48,84.52,0.62,2.360000000000012,6.641428571428568,8.849285714285715,46.489999999999974,10,0,0,0
2023-10-23,Kuching,27.96,81.84,0.66,3.1066666666666785,6.521428571428568,7.825714285714286,45.64999999999998,10,0,0,0
2023-10-24,Kuching,27.1,86.69,0.64,6.360000000000011,7.309999999999996,7.759285714285714,51.16999999999997,10,0,0,0
2023-10-25,Kuching,28.06,81.32,0.74,8.786666666666678,6.262857142857138,7.655,43.83999999999997,10,0,0,0
2023-10-26,Kuching,27.02,89.51,0.8,10.846666666666678,6.152857142857139,7.213571428571428,43.06999999999997,10,0,0,0
2023-10-27,Kuching,27.7,83.3,0.88,8.316666666666679,6.548571428571424,7.125,45.83999999999997,10,0,0,0
2023-10-28,Kuching,28.03,81.63,0.87,5.276666666666679,6.607142857142853,6.7057142857142855,46.24999999999997,10,0,0,0
2023-10-29,Kuching,27.66,85.39,0.78,13.566666666666679,10.955714285714281,8.798571428571428,76.68999999999997,10,0,0,0
2023-10-30,Kuching,27.72,84.42,0.8,13.803333333333347,11.132857142857137,8.827142857142857,77.92999999999996,10,0,0,0
2023-10-31,Kuching,28.0,84.23,0.72,13.770000000000012,9.78285714285714,8.546428571428573,68.47999999999998,10,0,0,0
2023-11-01,Kuching,27.28,88.15,0.78,3.860000000000012,8.844285714285709,7.553571428571429,61.90999999999997,11,1,0,0
2023-11-02,Kuching,27.69,88.5,0.84,6.393333333333345,9.22428571428571,7.688571428571429,64.56999999999996,11,1,0,0
2023-11-03,Kuching,26.93,88.23,0.76,9.720000000000011,10.38428571428571,8.46642857142857,72.68999999999997,11,1,0,0
2023-11-04,Kuching,27.95,79.23,0.76,8.610000000000012,10.272857142857138,8.44,71.90999999999997,11,1,0,0
2023-11-05,Kuching,27.91,83.07,0.68,7.230000000000011,6.5085714285714245,8.732142857142858,45.559999999999974,11,1,0,0
2023-11-06,Kuching,27.41,88.57,0.8,10.470000000000011,8.955714285714281,10.044285714285715,62.68999999999997,11,1,0,0
2023-11-07,Kuching,27.83,85.5,0.67,10.78000000000001,8.991428571428568,9.387142857142857,62.93999999999997,11,1,0,0
2023-11-08,Kuching,27.46,88.35,0.84,12.000000000000009,9.997142857142853,9.420714285714284,69.97999999999998,11,1,0,0
2023-11-09,Kuching,27.56,85.95,0.66,6.936666666666677,9.188571428571425,9.206428571428573,64.31999999999998,11,1,0,0
2023-11-10,Kuching,26.93,87.3,0.73,7.15000000000001,7.889999999999995,9.137142857142857,55.22999999999997,11,1,0,0
2023-11-11,Kuching,27.66,84.96,0.77,6.516666666666677,9.099999999999996,9.686428571428573,63.699999999999974,11,1,0,0
2023-11-12,Kuching,27.76,84.12,0.88,7.386666666666677,9.25571428571428,7.882142857142857,64.78999999999996,11,1,0,0
2023-11-13,Kuching,27.43,84.16,0.62,9.003333333333345,7.261428571428568,8.108571428571429,50.82999999999998,11,1,0,0
2023-11-14,Kuching,28.54,80.85,0.69,7.8400000000000105,7.839999999999996,8.415714285714285,54.879999999999974,11,1,0,0
2023-11-15,Kuching,27.52,92.11,0.85,16.786666666666676,11.307142857142853,10.652142857142858,79.14999999999998,11,1,0,0
2023-11-16,Kuching,27.73,86.71,0.75,20.316666666666677,12.995714285714282,11.092142857142859,90.96999999999997,11,1,0,0
2023-11-17,Kuching,27.23,90.27,0.99,19.13000000000001,12.974285714285712,10.432142857142855,90.81999999999998,11,1,0,0
2023-11-18,Kuching,28.15,83.39,0.79,10.103333333333342,12.844285714285709,10.972142857142856,89.90999999999997,11,1,0,0
2023-11-19,Kuching,27.66,88.7,0.78,11.073333333333343,14.575714285714282,11.915714285714287,102.02999999999997,11,1,0,0
2023-11-20,Kuching,27.81,85.86,0.71,15.066666666666677,15.572857142857137,11.417142857142855,109.00999999999996,11,1,0,0
2023-11-21,Kuching,27.83,86.77,0.71,18.370000000000008,17.357142857142854,12.59857142857143,121.49999999999997,11,1,0,0
2023-11-22,Kuching,26.94,93.47,1.03,14.583333333333343,13.631428571428568,12.469285714285716,95.41999999999997,11,1,0,0
2023-11-23,Kuching,26.63,90.36,0.88,11.486666666666677,11.788571428571425,12.392142857142856,82.51999999999997,11,1,0,0
2023-11-24,Kuching,28.02,81.77,0.71,7.030000000000009,12.171428571428565,12.572857142857142,85.19999999999996,11,1,0,0
2023-11-25,Kuching,27.6,85.72,0.87,5.943333333333342,11.848571428571423,12.346428571428572,82.93999999999997,11,1,0,0
2023-11-26,Kuching,26.03,92.81,1.07,7.88000000000001,10.419999999999996,12.497857142857143,72.93999999999997,11,1,0,0
2023-11-27,Kuching,26.24,90.79,0.71,9.990000000000009,9.995714285714282,12.784285714285716,69.96999999999997,11,1,0,0
2023-11-28,Kuching,27.2,84.29,0.72,9.290000000000008,7.957142857142854,12.657142857142857,55.699999999999974,11,1,0,0
2023-11-29,Kuching,28.31,82.68,0.65,6.4366666666666745,6.928571428571424,10.280000000000001,48.49999999999997,11,1,0,0
2023-11-30,Kuching,27.46,91.06,0.86,4.4300000000000095,6.971428571428567,9.379999999999999,48.79999999999997,11,1,0,0
2023-12-01,Kuching,26.52,93.06,1.06,7.096666666666676,7.985714285714281,10.078571428571427,55.89999999999997,12,1,0,0
2023-12-02,Kuching,26.89,87.75,0.86,9.66000000000001,8.521428571428567,10.184999999999999,59.64999999999997,12,1,0,0
